"kristal_size","Microseconds"
10,29
15,24
20,34
25,37
30,42
35,45
40,82
45,132
50,154
55,158
60,221
65,206
70,190
75,331
80,280
85,475
90,500
95,496
100,603
105,484
110,684
115,840
120,723
125,753
130,677
135,996
140,819
145,888
150,1282
155,1090
160,1504
165,1295
170,1610
175,1652
180,1804
185,2174
190,4933
195,4740
200,4733
205,3437
210,4668
215,3250
220,2683
225,2638
230,4250
235,4918
240,4938
245,4016
250,5464
255,6645
260,4971
265,3839
270,5240
275,4920
280,4888
285,6672
290,5001
295,6774
300,5326
305,5874
310,6689
315,5901
320,5303
325,6865
330,5777
335,9350
340,7714
345,7848
350,9793
355,10095
360,7967
365,8633
370,9029
375,8010
380,10783
385,9507
390,11127
395,9499
400,10703
