"Number","Microseconds"
1,39
2,60
3,51
4,52
5,64
6,46
7,44
8,59
9,35
10,42
11,42
12,37
13,36
14,30
15,25
16,47
17,38
18,37
19,30
20,26
21,31
22,38
23,31
24,28
25,31
26,26
27,22
28,23
29,19
30,26
31,32
32,32
33,22
34,24
35,24
36,26
37,23
38,24
39,18
40,25
41,23
42,14
43,19
44,22
45,29
46,20
47,17
48,20
49,21
50,12
51,19
52,21
53,17
54,18
55,17
56,15
57,15
58,16
59,14
60,14
61,13
62,16
63,16
64,14
65,11
66,11
67,11
68,11
69,14
70,14
71,11
72,11
73,12
74,12
75,13
76,9
77,9
78,12
79,11
80,9
81,11
82,13
83,13
84,7
85,11
86,8
87,7
88,11
89,9
90,12
91,8
92,7
93,10
94,6
95,12
96,8
97,9
98,10
99,7
100,7
101,7
102,7
103,7
104,7
105,5
106,7
107,5
108,7
109,7
110,7
111,5
112,6
113,5
114,6
115,5
116,7
117,5
118,5
119,8
120,6
121,7
122,6
123,4
124,5
125,4
126,4
127,5
128,5
129,6
130,5
131,4
132,4
133,4
134,4
135,4
136,4
137,2
138,4
139,4
140,2
141,5
142,3
143,3
144,2
145,3
146,3
147,3
148,3
149,3
150,2
151,3
152,2
153,2
154,3
155,2
156,2
157,3
158,2
159,2
160,4
161,2
162,2
163,3
164,3
165,3
166,2
167,2
168,2
169,2
170,2
171,2
172,2
173,2
174,1
175,2
176,1
177,2
178,2
179,1
180,2
181,2
182,1
183,1
184,1
185,1
186,1
187,1
188,1
189,1
190,2
191,1
192,1
193,1
194,1
195,0
196,1
197,0
198,1
199,1
200,0
201,1
202,0
203,1
204,1
205,1
206,0
207,1
208,1
209,0
210,1
211,0
212,0
213,1
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,1
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,1
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,0
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,0
366,0
367,0
368,0
369,0
370,0
371,0
372,0
373,0
374,0
375,0
376,0
377,0
378,0
379,0
380,0
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,0
395,0
396,0
397,0
398,0
399,0
400,0
