"kristal_size","Microseconds"
60,9  
65,13 
70,10 
75,8  
80,7  
85,6  
90,7  
95,7  
100,7 
105,7 
110,6 
115,12
120,17
125,18
130,11
135,7 
140,14
145,19
150,11
155,20
160,18
165,32
170,18
175,18
180,21
185,44
190,16
195,18
200,23
205,15
210,13
215,35
220,22
225,19
230,19
235,28
240,16
245,13
250,23
255,25
260,22
265,26
270,18
275,31
280,18
285,21
290,20
295,38
300,34
305,29
310,33
315,26
320,42
325,71
330,26
335,40
340,47
345,64
350,30
355,47
360,24
365,39
370,63
375,45
380,38
385,34
390,131
395,38
400,51
405,84
410,67
415,56
420,71
425,87
430,82
435,56
440,105
445,102
450,87
